date:2025-01-05 13:54:49	thread:main	X-Track:	level:WARN 	logger:o.mybatis.spring.mapper.ClassPathMapperScanner  	message:No MyBatis mapper was found in '[com.example.domain.repository]' package. Please check your configuration.
date:2025-01-05 13:54:50	thread:main	X-Track:	level:WARN 	logger:o.s.s.config.annotation.web.builders.WebSecurity	message:You are asking Spring Security to ignore Ant [pattern='/resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
date:2025-01-05 13:54:50	thread:main	X-Track:	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	message:Initializing Servlet 'appServlet'
date:2025-01-05 13:54:51	thread:main	X-Track:	level:TRACE	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:
  	c.e.a.w.HelloController:
  	{GET [/]}: home(Locale,Model)
date:2025-01-05 13:54:51	thread:main	X-Track:	level:DEBUG	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:1 mappings in 'requestMappingHandlerMapping'
date:2025-01-05 13:54:51	thread:main	X-Track:	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	message:Completed initialization in 955 ms
date:2025-01-05 13:55:41	thread:http-nio-8080-exec-5	X-Track:c33c32c4ccfc45a6b1d16760eeda5324	level:TRACE	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped to com.example.app.welcome.HelloController#home(Locale, Model)
date:2025-01-05 13:55:41	thread:http-nio-8080-exec-5	X-Track:c33c32c4ccfc45a6b1d16760eeda5324	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[START CONTROLLER] HelloController.home(Locale,Model)
date:2025-01-05 13:55:41	thread:http-nio-8080-exec-5	X-Track:c33c32c4ccfc45a6b1d16760eeda5324	level:INFO 	logger:com.example.app.welcome.HelloController         	message:Welcome home! The client locale is ja.
date:2025-01-05 13:55:41	thread:http-nio-8080-exec-5	X-Track:c33c32c4ccfc45a6b1d16760eeda5324	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[END CONTROLLER  ] HelloController.home(Locale,Model)-> view=welcome/home, model={serverTime=2025年1月5日 13:55:41 UTC}
date:2025-01-05 13:55:41	thread:http-nio-8080-exec-5	X-Track:c33c32c4ccfc45a6b1d16760eeda5324	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[HANDLING TIME   ] HelloController.home(Locale,Model)-> 72,094,606 ns
date:2025-01-05 13:55:59	thread:http-nio-8080-exec-9	X-Track:c02f61b5060b41f2bf1d10b43049d318	level:TRACE	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped to com.example.app.welcome.HelloController#home(Locale, Model)
date:2025-01-05 13:55:59	thread:http-nio-8080-exec-9	X-Track:c02f61b5060b41f2bf1d10b43049d318	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[START CONTROLLER] HelloController.home(Locale,Model)
date:2025-01-05 13:55:59	thread:http-nio-8080-exec-9	X-Track:c02f61b5060b41f2bf1d10b43049d318	level:INFO 	logger:com.example.app.welcome.HelloController         	message:Welcome home! The client locale is ja.
date:2025-01-05 13:55:59	thread:http-nio-8080-exec-9	X-Track:c02f61b5060b41f2bf1d10b43049d318	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[END CONTROLLER  ] HelloController.home(Locale,Model)-> view=welcome/home, model={serverTime=2025年1月5日 13:55:59 UTC}
